,id_parcelle,code_type_local,lon,lat,adresse_complete,prix_m2
219,593503550C3620,1.0,3.005027,50.63297,6 RUE DE L EGALITE 59160,3696.91
220,593503550C3618,1.0,3.005386,50.633071,2 RUE DE L EGALITE 59160,2661.3
221,593503550C3613,1.0,3.005483,50.633098,8 RUE VICTOR HUGO LOMME 59160,2166.39
222,593503550C3608,1.0,3.005509,50.632941,5 RUE DE LA LIBERTE LOMME 59160,3100.53
223,593503550C3598,1.0,3.005993,50.632724,26 RUE VICTOR HUGO LOMME 59160,2072.23
224,593503550C3597,1.0,3.00603,50.632703,28 RUE VICTOR HUGO LOMME 59160,1991.42
225,593503550C3594,1.0,3.006091,50.632474,23 RUE DE LA LIBERTE LOMME 59160,3349.74
226,593503550C3586,1.0,3.007114,50.632381,9 RUE VICTOR HUGO LOMME 59160,3416.01
227,593503550C3584,1.0,3.007152,50.632268,13 RUE VICTOR HUGO LOMME 59160,4662.83
228,593503550C3567,1.0,3.006251,50.633418,22 CITE BAILLEUX RUE V HUGO LOMME 59160,2941.57
229,593503550C3565,1.0,3.006184,50.633366,18 CITE BAILLEUX RUE V HUGO LOMME 59160,2471.06
230,593503550C3564,1.0,3.006141,50.633346,16 CITE BAILLEUX RUE V HUGO LOMME 59160,2744.39
231,593503550C3563,1.0,3.006081,50.63333,14 CITE BAILLEUX RUE V HUGO LOMME 59160,2603.42
232,593503550C3562,1.0,3.006032,50.633316,12 CITE BAILLEUX RUE V HUGO LOMME 59160,2332.17
233,593503550C3552,1.0,3.005743,50.633562,6 RUE ANATOLE FRANCE LOMME 59160,2235.32
234,593503550C3545,2.0,3.006471,50.633822,20 RUE ANATOLE FRANCE LOMME 59160,4585.78
235,593503550C3535,2.0,3.006752,50.633703,6 RUE DELANNOY 59160,4684.86
236,593503550C3534,1.0,3.007853,50.633497,10 RUE DELANNOY 59160,3058.0
237,593503550C3533,1.0,3.007893,50.633475,12 RUE DELANNOY 59160,3997.66
238,593503550C3528,1.0,3.008086,50.633299,22 RUE DELANNOY 59160,4975.48
239,593503550C3524,1.0,3.008316,50.633146,32 RUE DELANNOY 59160,1540.08
240,593503550C3522,1.0,3.008405,50.633105,36 RUE DELANNOY 59160,2663.38
241,593503550C3515,1.0,3.008471,50.63286,29 RUE MARTYRS DE RESISTANCE 59160,4684.79
242,593503550C3512,1.0,3.008658,50.632972,35 RUE MARTYRS DE RESISTANCE 59160,2221.58
243,593503550C3504,1.0,3.009129,50.633152,45 RUE MARTYRS DE RESISTANCE 59160,2322.67
244,593503550C3498,1.0,3.008903,50.633271,61 RUE DELANNOY 59160,2709.24
245,593503550C3494,1.0,3.008775,50.633408,53 RUE DELANNOY 59160,3810.59
246,593503550C3476,1.0,3.008069,50.633936,17 RUE DELANNOY 59160,1826.18
247,593503550C3473,1.0,3.00799,50.634018,11 RUE DELANNOY 59160,3350.58
248,593503550C3472,1.0,3.008009,50.634069,9 RUE DELANNOY 59160,2325.07
249,593503550C3469,1.0,3.007876,50.634139,3 RUE DELANNOY 59160,4275.32
250,593503550C3468,1.0,3.007802,50.634163,1 RUE DELANNOY 59160,3144.41
